MinifigNumber,MinifigName,MinifigCategory,OwnedInSets,OwnedLoose,Notes,Value new (USD),Value used (USD)
"sh141","Electro, Dark Bluish Gray and Black Suit","Super Heroes / Super Heroes Other",1,0,"",16.7900,16.3200
"sh144","Sinestro","Super Heroes / Justice League",1,0,"",6.3200,3.0800
"sh145","Green Lantern - White Hands","Super Heroes / Justice League",1,0,"",15.2500,7.0800
"sh146","Space Batman","Super Heroes / Justice League",1,0,"",12.8500,5.4300
"sh147","Gorilla Grodd","Super Heroes / Justice League",0,1,"",25.3800,17.2800
"sh148","Captain Cold","Super Heroes / Justice League",0,1,"",6.5500,4.9100
"sh149","Truck Driver - Overalls","Super Heroes / Justice League",0,1,"",4.8300,2.6100
"sh150","Wonder Woman - Silver Tiara, Dark Blue Legs","Super Heroes / Justice League",0,1,"",11.4700,6.2600
"sh153","Green Arrow - Hair","Super Heroes / Justice League",0,1,"",14.1400,11.8100
"sh161","Scuba Robin","Super Heroes / Justice League",0,1,"",4.9900,3.7300
"sh163","Batzarro","Super Heroes / Justice League",0,1,"",12.4200,10.6400
"sh164","Iron Man Mark 45 Armor","Super Heroes / Avengers Age of Ultron",3,0,"",18.6200,6.7300
"sh165","Ultron Sentry Officer","Super Heroes / Avengers Age of Ultron",3,0,"",5.3700,3.7800
"sh166","Ultron Sentry","Super Heroes / Avengers Age of Ultron",6,0,"",5.1100,1.5300
"sh167","Iron Man Mark 43 Armor","Super Heroes / Avengers Age of Ultron",1,2,"",12.7700,6.9200
"sh168","Iron Legion","Super Heroes / Avengers Age of Ultron",0,2,"",24.4100,15.4400
"sh169","Ultron MK1","Super Heroes / Avengers Age of Ultron",0,1,"",11.6300,8.6100
"sh170","Thor - Soft Cape, Dark Blue Legs","Super Heroes / Avengers Age of Ultron",1,1,"",7.8900,3.8800
"sh171","HYDRA Henchman - Chitauri Armor","Super Heroes / Avengers Age of Ultron",1,1,"",2.7200,1.5700
"sh172","Hawkeye - Black and Dark Red Suit","Super Heroes / Avengers Age of Ultron",2,0,"",11.0200,4.5300
"sh173","Hulk with Black Hair and Dark Purple Pants with Avengers Logo","Super Heroes / Avengers Age of Ultron",1,0,"",22.5700,14.3800
"sh174","Scarlet Witch - Printed Legs, Reddish Brown Hair","Super Heroes / Avengers Age of Ultron",1,0,"",15.5600,5.7800
"sh175","Ultron Prime","Super Heroes / Avengers Age of Ultron",1,0,"",15.3700,8.0000
"sh176","Ultimate Ultron","Super Heroes / Avengers Age of Ultron",0,1,"",52.6400,40.2400
"sh177","Captain America - Detailed Suit - Mask","Super Heroes / Avengers Age of Ultron",1,3,"",7.0700,3.8000
"sh178","Vision - Dark Azure Spot on Forehead","Super Heroes / Avengers Age of Ultron",0,1,"",22.4000,16.9500
"sh179","Baron Von Strucker","Super Heroes / Avengers Age of Ultron",0,1,"",6.6800,6.8000
"sh180","Quicksilver","Super Heroes / Avengers Age of Ultron",0,1,"",65.1800,44.8900
"sh181","Winter Soldier - Light Bluish Gray Hand","Super Heroes / Avengers",1,0,"",16.3100,13.1400
"sh183","Maria Hill","Super Heroes / Avengers",1,0,"",21.3600,15.5500
"sh184","Captain America - Detailed Suit - Dark Orange Eyebrows","Super Heroes / Avengers",1,0,"",15.3600,12.0200
"sh185","Nick Fury - Leather Trench Coat","Super Heroes / Avengers",1,0,"",20.8500,19.5200
"sh186","Black Widow - Black Jumpsuit, Dark Orange Short Hair, Printed Legs","Super Heroes / Avengers Age of Ultron",1,1,"",7.3300,3.9000
"sh187","Carnage - Short Appendages","Super Heroes / Ultimate Spider-Man",1,0,"",10.6600,6.2200
"sh188","SHIELD Agent","Super Heroes / Ultimate Spider-Man",1,0,"",4.8100,2.4400
"sh190","Spider-Man (Miles Morales) - Red Webbing on Head, Red Hands","Super Heroes / Ultimate Spider-Man",1,0,"",15.5100,4.9700
"sh196","Green Goblin - Juniors","Super Heroes / Spider-Man",1,0,"",7.9300,3.6200
"sh203","Police Officer - Juniors","Super Heroes / Spider-Man",1,0,"",3.8500,1.3600
"sh212","Hulk - Dark Purple Pants with Dark Red Pattern","Super Heroes / Avengers Age of Ultron",1,0,"",23.1100,14.2000
"sh213","Scuba Iron Man","Super Heroes / Avengers",0,1,"",36.0500,25.0500
"sh226","Captain Marvel - Red Sash","Super Heroes / Avengers",0,1,"",13.4100,9.7500
"sh227","Hyperion","Super Heroes / Avengers",0,1,"",9.6900,7.4100
"sh228","Captain America, Space Captain America","Super Heroes / Avengers",0,1,"",3.8400,2.8600
"sh229","Iron Man, Space Iron Man","Super Heroes / Avengers",0,1,"",65.2700,51.6000
"sh230","Thanos - Large Figure, Dark Blue Arms, Pearl Gold Armor with Helmet","Super Heroes / Avengers",0,1,"",22.9000,16.5400
"sh231","Iron Man Mark 7 Armor","Super Heroes / Iron Man",1,0,"",28.4300,13.6000
"sh232","Silver Centurion","Super Heroes / Avengers Age of Ultron",1,0,"",78.9100,67.1300
"sh248","Spider-Man - Short Legs","Super Heroes / Mighty Micros / Ultimate Spider-Man",1,0,"",3.4800,1.5000
"sh249","Green Goblin - Short Legs","Super Heroes / Mighty Micros / Ultimate Spider-Man",1,0,"",3.3800,1.6200
"sh250","Captain America - Short Legs","Super Heroes / Mighty Micros / Avengers",1,0,"",3.9300,1.7700
"sh251","Red Skull - Short Legs","Super Heroes / Mighty Micros / Avengers",1,0,"",2.5600,1.5600
"sh252","Hulk - Short Legs","Super Heroes / Mighty Micros / Avengers Age of Ultron",1,0,"",7.1000,2.9800
"sh253","Ultron - Short Legs","Super Heroes / Mighty Micros / Avengers Age of Ultron",1,0,"",4.3900,2.1400
"sh254","Iron Man Mark 46 Armor - Partial Circle on Chest","Super Heroes / Captain America Civil War",0,1,"",36.5800,23.7100
"sh255","Agent 13 (Sharon Carter)","Super Heroes / Captain America Civil War",0,1,"",6.8200,5.0000
"sh256","Scarlet Witch - Fabric Skirt","Super Heroes / Captain America Civil War",0,1,"",28.7400,20.3700
"sh257","Winter Soldier - Black Hands and Holster","Super Heroes / Captain America Civil War",0,1,"",14.2800,8.7700
"sh258","War Machine - with Shooter","Super Heroes / Captain America Civil War",0,1,"",41.1800,21.4500
"sh265","Batman, Pirate Batman","Super Heroes / Batman II",0,1,"",12.0600,7.6000
"sh296","Doctor Strange","Super Heroes / Doctor Strange",1,0,"",23.6800,15.2700
"sh297","Karl Mordo - Dark Green Vest","Super Heroes / Doctor Strange",1,0,"",9.0700,6.3000
"sh298","The Ancient One","Super Heroes / Doctor Strange",1,0,"",7.5400,5.3500
"sh299","Spider-Man - Black Web Pattern, Red Torso Large Vest, Red Boots","Super Heroes / Captain America Civil War",1,0,"",35.5200,25.2200
"sh302","Hawkeye - Black and Dark Purple Suit","Super Heroes / Captain America Civil War",1,0,"",30.2100,23.0200
"sh303","Vision - Yellow Spot on Forehead","Super Heroes / Captain America Civil War",1,0,"",23.8000,20.3400
"sh305","Batgirl, Yellow Cape, Dual Sided Head with Smile/Annoyed Pattern","Super Heroes / The LEGO Batman Movie",2,0,"",5.3200,3.3600
"sh306","Harley Quinn - Pigtails, Black Eye Mask, Roller Skates","Super Heroes / The LEGO Batman Movie",1,0,"",4.5900,4.7000
"sh307","The Joker - Vest, Shirtsleeves, Smile with Fang","Super Heroes / The LEGO Batman Movie",1,0,"",7.5200,4.5400
"sh312","Batman - Utility Belt, Head Type 1","Super Heroes / The LEGO Batman Movie",2,0,"",3.7000,2.1300
"sh315","Robin - Green Glasses, Smile / Scared Pattern","Super Heroes / The LEGO Batman Movie",2,0,"",7.3500,3.3900
"sh316","Kabuki Twin","Super Heroes / The LEGO Batman Movie",2,0,"",4.4400,2.9000
"sh330","Catwoman - Utility Belt","Super Heroes / The LEGO Batman Movie",0,1,"",4.5000,3.1600
"sh332","Scarecrow, Pizza Delivery Outfit","Super Heroes / The LEGO Batman Movie",0,1,"",6.8400,3.5000
"sh350","Mayor McCaskill","Super Heroes / The LEGO Batman Movie",0,1,"",5.2700,3.1400
"sh351","The Penguin - White Fur Collar, Angry","Super Heroes / The LEGO Batman Movie",1,0,"",7.4100,4.0800
"sh360","Spider-Man - Short Legs, Winking","Super Heroes / Mighty Micros",1,0,"",4.9000,2.0200
"sh361","Scorpion - Short Legs","Super Heroes / Mighty Micros",1,0,"",5.0800,3.6600
"sh362","Iron Man - Short Legs","Super Heroes / Mighty Micros",1,0,"",16.1000,7.9200
"sh363","Thanos - Short Blue Legs","Super Heroes / Mighty Micros",1,0,"",6.7100,3.5700
"sh364","Wolverine - Short Legs","Super Heroes / Mighty Micros",1,0,"",5.8600,4.4200
"sh365","Magneto - Short Legs","Super Heroes / Mighty Micros",1,0,"",7.3300,4.3900
"sh367","Justin Hammer","Super Heroes / Avengers",1,0,"",7.8600,6.4600
"sh368","Invincible Iron Man","Super Heroes / Avengers",1,0,"",23.9400,13.8400
"sh369","Agent Coulson","Super Heroes / Avengers",1,0,"",21.8400,17.2000
"sh375","Ms. Marvel","Super Heroes / Avengers",0,1,"",23.9100,15.1100
"sh376","Batman, Roller Disco Batman","Super Heroes / The LEGO Batman Movie",1,0,"",6.3700,5.1100
"sh377","Batman, Tears of Batman Clown","Super Heroes / The LEGO Batman Movie",1,0,"",7.4400,5.5400
"sh378","Ayesha","Super Heroes / Guardians of the Galaxy Vol. 2",1,0,"",7.2000,5.7700
"sh379","Yondu","Super Heroes / Guardians of the Galaxy Vol. 2",1,0,"",42.7800,30.8900
"sh380","Star-Lord - Jet Pack","Super Heroes / Guardians of the Galaxy Vol. 2",1,0,"",11.6800,7.1500
"sh381","Groot - Baby, Red Outfit with Zipper","Super Heroes / Guardians of the Galaxy Vol. 2",1,0,"",8.6400,8.0600
"sh382","Taserface","Super Heroes / Guardians of the Galaxy Vol. 2",1,0,"",8.3600,6.3900
"sh383","Mantis","Super Heroes / Guardians of the Galaxy Vol. 2",1,0,"",18.7900,14.2900
"sh384","Rocket Raccoon - Dark Blue and Reddish Brown Outfit, Dark Bluish Gray Head","Super Heroes / Guardians of the Galaxy Vol. 2",1,0,"",6.7100,4.4000
"sh385","Star-Lord - Silver Armor, Jet Pack","Super Heroes / Guardians of the Galaxy Vol. 2",1,0,"",19.2000,10.2700
"sh386","Nebula - Dark Azure Head, Torn Outfit","Super Heroes / Guardians of the Galaxy Vol. 2",1,0,"",15.9300,11.6000
"sh387","Drax - Dark Blue Legs, Jet Pack","Super Heroes / Guardians of the Galaxy Vol. 2",1,0,"",46.5000,35.4500
"sh388","Gamora - Silver Armor","Super Heroes / Guardians of the Galaxy Vol. 2",1,0,"",12.0800,8.9600
"sh389","Groot - Baby","Super Heroes / Guardians of the Galaxy Vol. 2",1,0,"",16.6800,13.6600
"sh390","Batman, Tiger Tuxedo Batman","Super Heroes / The LEGO Batman Movie",1,0,"",8.7100,7.5000
"sh397","Polka-Dot Man","Super Heroes / The LEGO Batman Movie",1,0,"",36.0900,30.1000
"sh399","Chief O'Hara","Super Heroes / The LEGO Batman Movie",1,0,"",4.3200,4.1100
"sh400","GCPD Officer 1","Super Heroes / The LEGO Batman Movie",1,0,"",4.5600,4.7300
"sh401","GCPD Officer 2","Super Heroes / The LEGO Batman Movie",1,0,"",4.0100,3.0800
"sh403","Vulture - Dark Green Flight Suit, Black Bomber Jacket","Super Heroes / Spider-Man Homecoming",1,0,"",7.0300,5.6800
"sh404","The Shocker","Super Heroes / Spider-Man Homecoming",1,0,"",6.3800,3.7100
"sh405","Iron Man Mark 47 Armor","Super Heroes / Spider-Man Homecoming",1,0,"",31.4100,22.0100
"sh406","Hela","Super Heroes / Thor Ragnarok",1,0,"",45.9300,39.2700
"sh407","Valkyrie - Dark Blue Suit","Super Heroes / Thor Ragnarok",1,0,"",16.4900,13.0300
"sh408","Bruce Banner - Black Legs","Super Heroes / Thor Ragnarok",1,0,"",4.9400,3.2400
"sh409","Thor - Red Cape, Helmet","Super Heroes / Thor Ragnarok",1,0,"",22.3000,17.5200
"sh410","Grandmaster","Super Heroes / Thor Ragnarok",1,0,"",9.8400,6.9300
"sh411","Loki, Dark Blue Outfit","Super Heroes / Thor Ragnarok",1,0,"",21.8000,19.6900
"sh412","Thor - Scabbard","Super Heroes / Thor Ragnarok",1,0,"",19.7100,20.7300
"sh413","Hulk with Silver Helmet and Black Pants","Super Heroes / Thor Ragnarok",1,0,"",43.6000,36.7100
"sh415","Batman - Utility Belt, Head Type 4","Super Heroes / The LEGO Batman Movie",1,0,"",4.1300,3.2700
"sh418a","Flying Monkey - Smile","Super Heroes / The LEGO Batman Movie",1,0,"",44.3800,35.8500
"sh418b","Flying Monkey - Bared Teeth","Super Heroes / The LEGO Batman Movie",1,0,"",41.3400,32.8900
"sh420","Spider-Man - Black Web Pattern, Red Torso Small Vest, Red Boots","Super Heroes / Spider-Man Homecoming",1,0,"",12.4300,6.7700
"sh424","Alfred Pennyworth - Batsuit","Super Heroes / The LEGO Batman Movie",1,0,"",11.8100,8.8000
"sh425","Berserker - Thor Ragnarok","Super Heroes / Thor Ragnarok",2,0,"",3.1100,2.1500
"sh426","Sakaarian Guard","Super Heroes / Thor Ragnarok",1,0,"",4.1700,2.8900
"sh429","Aquaman - Dark Brown Long Hair","Super Heroes / Justice League",1,0,"",6.1900,5.4200
"sh430","Atlantean Guard - Angry Expression","Super Heroes / Justice League",1,0,"",3.1100,2.0300
"sh431","Parademon - Bright Light Orange, Extended Wings","Super Heroes / Justice League",1,0,"",2.8700,1.9200
"sh432","Atlantean Guard - Scared Expression","Super Heroes / Justice League",1,0,"",3.0500,2.4300
"sh441","The Penguin, Arkham Penguin","Super Heroes / The LEGO Batman Movie",0,1,"",15.0100,14.6300
"sh448","Giant-Man Hank Pym","Super Heroes / Avengers",1,0,"",20.3400,12.1300
"sh457","Firestorm","Super Heroes / Justice League",0,1,"",26.1500,16.9100
"sh496","Iron Man Mark 50 Armor","Super Heroes / Avengers Infinity War",1,1,"",8.6300,5.9900
"sh498","Iron Man Mark 43 Armor (Trans-Clear Head)","Super Heroes / Avengers Age of Ultron",1,0,"",29.7100,27.0200
"sh501","Groot, Teen Groot (Infinity War)","Super Heroes / Avengers Infinity War",0,1,"",9.9800,7.0200
"sh502","Thor (Infinity War)","Super Heroes / Avengers Infinity War",0,1,"",7.1000,4.0100
"sh505","Outrider - Extended Arms","Super Heroes / Avengers Infinity War",3,0,"",2.2500,1.5200
"sh512","Shuri - Orange Top","Super Heroes / Avengers Infinity War",0,1,"",8.0000,7.2500
"sh554","Nick Fury (Young)","Super Heroes / Captain Marvel",0,1,"",3.1200,2.5200
"sh562","Outrider - Shoulder Armor Pad","Super Heroes / Avengers Endgame",1,0,"",2.2300,1.4900
"sh563","Ant-Man (Scott Lang) - White Jumpsuit","Super Heroes / Avengers Endgame",1,0,"",8.1500,5.9100
"sh564","War Machine - White Jumpsuit with Shooter","Super Heroes / Avengers Endgame",1,0,"",11.3700,8.0900
"sh565","Iron Man Mark 1 Armor (Trans-Clear Head)","Super Heroes / Avengers Endgame",1,0,"",8.4100,7.5300
"sh566","Iron Man Mark 5 Armor (Trans-Clear Head)","Super Heroes / Avengers Endgame",1,0,"",8.7300,6.7400
"sh567","Iron Man Mark 41 Armor (Trans-Clear Head)","Super Heroes / Avengers Endgame",1,0,"",8.1700,6.4700
"sh568","Chitauri","Super Heroes / Avengers Endgame",2,0,"",2.7000,1.9600
"sh571","Black Widow - White Jumpsuit, Dark Orange Ponytail","Super Heroes / Avengers Endgame",1,0,"",4.4600,3.2300
"sh573","Iron Man Mark 85 Armor - Helmet","Super Heroes / Avengers Endgame",0,1,"",11.3500,9.5600
"sh575","Iron Man - White Jumpsuit, Neck Bracket","Super Heroes / Avengers Endgame",1,0,"",5.5200,5.2100
"sh584","Tony Stark - Black Iron Man Suit with Dark Red Right Arm","Super Heroes / The Avengers",1,0,"",22.7400,20.0000
"sh610","Rescue (Pepper Potts) - Dark Purple Armor","Super Heroes / Avengers Endgame",1,0,"",21.7900,20.5000
"sh611","Hulk with Black Hair and White Jumpsuit","Super Heroes / Avengers Endgame",1,0,"",18.2000,15.5900
"sh612","Iron Man with Silver Hexagon on Chest","Super Heroes / Avengers",1,0,"",4.2900,3.1600
"sh679","Spider-Man (Miles Morales) - Dark Red Hood","Super Heroes / Spider-Man",1,0,"",5.8400,4.6800
"sh742","Rocket Raccoon - Dark Bluish Gray Outfit, Reddish Brown Head","Super Heroes / The Infinity Saga",1,0,"",6.9000,5.7000
"sh745","Mantis - Black Belt with Clasps","Super Heroes / The Infinity Saga",1,0,"",6.7000,6.0200
"sh806","Iron Man - Pearl Gold Armor and Legs","Super Heroes / Avengers",2,0,"",4.8600,12.1200
"sh834","Star-Lord - Dark Red Legs","Super Heroes / Guardians of the Galaxy",1,0,"",4.1800,3.4400
"sh835","Nebula - Holiday Sweater","Super Heroes / Guardians of the Galaxy",1,0,"",5.4500,5.2400
"sh836","Groot, Teen Groot - Dark Tan with Neck Bracket","Super Heroes / Guardians of the Galaxy",1,0,"",5.7400,5.5600
"sh837","Drax - Holiday Sweater","Super Heroes / Guardians of the Galaxy",1,0,"",5.4100,2.6900
"sp003","Classic Space - Black with Air Tanks","Space / Classic Space",0,1,"",78.6600,23.0900
"sp004new2","Classic Space - Blue with Air Tanks and Motorcycle (Standard) Helmet, Brown Eyebrows, Thin Grin (Reissue)","Space / Classic Space",1,0,"",12.5700,7.9400
"sp005","Classic Space - Red with Air Tanks","Space / Classic Space",0,1,"",20.8900,5.2900
"sp006new2","Classic Space - White with Air Tanks and Motorcycle (Standard) Helmet, Logo High on Torso (Second Reissue)","Space / Classic Space",1,0,"",11.8100,4.1400
"sp007","Classic Space - Yellow with Air Tanks","Space / Classic Space",0,1,"",18.6600,4.7100
"sp038","Space Police 2 Chief (Captain Magenta)","Space / Space Police II",1,0,"",13.6200,4.3400
"sp044","UFO Droid - Red (Techdroid 2)","Space / UFO",1,0,"",3.6900,2.2400
"sp051","Blacktron 2 with Jet Pack and Trans-Neon Green Lights","Space / Blacktron II",1,0,"",4.9900,4.3000
"sp075new","Classic Space Droid - Hinge Base, Black with Trans-Yellow Eyes (Bar through Torso)","Space / Classic Space",1,0,"",1.0600,5.9900
"spd002","Peter Parker 1 - Jacket Blue, Black Legs, Brown Male Hair","Spider-Man / Spider-Man 1",0,1,"",17.9000,4.1300
"spd003","Police - Highway Patrolman, Black Shirt w/Badge and Radio, Black Legs, White Helmet","Spider-Man / Spider-Man 2",0,1,"",5.6500,3.8200
"spd004","Mary Jane 1","Spider-Man / Spider-Man 1",0,1,"",9.4300,4.2100
"spd012","Spider-Man 2 - Balaclava Face","Spider-Man / Spider-Man 1",0,1,"",130.0000,67.3300
"spd013","Mary Jane 3","Spider-Man / Spider-Man 1",0,1,"",26.8900,12.1800
"spd014","Plaid Button Shirt, Black Legs, Black Cap, Red Hair, Black Stubble (Taxi Driver)","Spider-Man / Spider-Man 1",0,1,"",4.6700,1.5600
"spd016","Dr. Octopus (Otto Octavius) / Doc Ock, Light Bluish Gray Torso, Light Bluish Gray Legs - With Arms","Spider-Man / Spider-Man 2",0,1,"",47.5000,33.8300
"spd017","J. Jonah Jameson - Vest with Striped Tie, Flat Top Hair","Spider-Man / Spider-Man 2",0,1,"",8.9800,4.9300
"spd018","Jewel Thief 1, Red Torso w/ Space Logo, Black Legs","Spider-Man / Spider-Man 2",0,1,"",25.3800,4.0100
"spd019","Jewel Thief 2, Black Jacket Torso, Black Legs","Spider-Man / Spider-Man 2",0,1,"",7.4000,3.6800
"spd022","Harry Osborn 2, Dark Bluish Gray Suit Torso, Dark Bluish Gray Legs","Spider-Man / Spider-Man 2",0,1,"",13.3700,6.9100
"spd023","Ambulance Driver, Dark Blue Torso with EMT Star of Life Logo, Black Legs, Black Male Hair","Spider-Man / Spider-Man 2",0,1,"",9.3600,5.5700
"spd024","Aunt May, Dark Tan Blouse, Dark Tan Legs, Light Bluish Gray Ponytail Hair","Spider-Man / Spider-Man 2",0,1,"",6.2300,6.4700
"spd026","Dr. Octopus (Otto Octavius) / Doc Ock, Sand Green Jacket, Sand Green Legs, Thin Smirk - With Arms","Spider-Man / Spider-Man 2",0,1,"",64.6300,43.1700
"spd027","Dr. Octopus (Otto Octavius) / Doc Ock, Sand Green Jacket, Sand Green Legs, Clenched Teeth Smile - With Arms","Spider-Man / Spider-Man 2",0,1,"",60.7100,33.8700
"spd028","Spider-Man 3 - Dark Blue Arms and Legs, Silver Webbing","Spider-Man / Spider-Man 2",0,2,"",66.3300,43.9100
"spd029","Security Guard, Dark Bluish Gray Shirt w/Badge and Radio, Dark Bluish Gray Legs","Spider-Man / Spider-Man 2",0,1,"",15.5600,6.0000
"spd030","Subway Train Conductor","Spider-Man / Spider-Man 2",0,1,"",5.2200,4.5100
"sw0277","Darth Vader (White Pupils)","Star Wars / Star Wars Episode 4/5/6",0,1,"",18.4400,10.9400
"sw0464","Darth Vader (Celebration)","Star Wars / Star Wars Other",0,1,"",22.1400,12.6200
"sw0637","Obi-Wan Kenobi (Old) - Standard Cape","Star Wars / Star Wars Episode 4/5/6",0,1,"",26.2000,15.9500
"sw0658","Poe Dameron (Pilot Jumpsuit, Helmet)","Star Wars / Star Wars Episode 7",0,1,"",8.7500,6.5300
"sw0766","Silver Protocol Droid (U-3PO)","Star Wars / Star Wars Episode 4/5/6",0,1,"",8.2800,5.6000
"tgb001","Brawny Boxer, Team GB (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Team GB",1,0,"",8.9300,10.5200
"tgb002","Stealth Swimmer, Team GB (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Team GB",1,0,"",24.2700,6.6200
"tgb003","Relay Runner, Team GB (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Team GB",1,0,"",12.0300,6.6400
"tgb004","Judo Fighter, Team GB (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Team GB",1,0,"",12.4200,7.2900
"tgb005","Tactical Tennis Player, Team GB (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Team GB",1,0,"",20.5500,4.6700
"tgb006","Flexible Gymnast, Team GB (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Team GB",1,0,"",4.7100,4.5900
"tgb007","Wondrous Weightlifter, Team GB (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Team GB",1,0,"",13.9900,5.0200
"tgb008","Horseback Rider, Team GB (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Team GB",1,0,"",30.1200,9.4400
"tgb009","Agile Archer, Team GB (Minifigure Only without Stand and Accessories)","Collectible Minifigures / Team GB",1,0,"",88.0000,7.1300
"tlm001","Calamity Drone, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",6.5400,5.2800
"tlm002","President Business, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",5.2000,1.9400
"tlm003","Hard Hat Emmet, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",2.9400,1.6900
"tlm004","Wild West Wyldstyle, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",6.1400,2.5000
"tlm005","Abraham Lincoln, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",12.3100,4.9600
"tlm006","Mrs. Scratchen-Post, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",11.1300,4.4200
"tlm007","Scribble-Face Bad Cop, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",3.9300,1.9100
"tlm008","William Shakespeare, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",20.6200,12.1300
"tlm009","Gail the Construction Worker, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",5.9500,3.0400
"tlm010","Larry the Barista, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",9.4700,2.6800
"tlm011","Velma Staplebot, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",5.4000,3.0200
"tlm012","Taco Tuesday Guy, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",8.6200,3.6000
"tlm013","'Where are my Pants?' Guy, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",6.6100,3.2900
"tlm014","Wiley Fusebot, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",4.3700,2.6900
"tlm015","Panda Guy, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",8.7200,3.5400
"tlm016","Marsha Queen of the Mermaids, The LEGO Movie (Minifigure Only without Stand and Accessories)","Collectible Minifigures / The LEGO Movie",1,0,"",6.7000,5.1700
"tlm026","Emmet - Wide Smile, with Piece of Resistance and Plate on Leg","The LEGO Movie / General",1,0,"",5.4200,2.8800
"tlm027","Wyldstyle with Hood Folded Down","The LEGO Movie / General",3,0,"",4.3600,1.7100
"tlm028","Executron","The LEGO Movie / General",1,3,"",4.5800,2.0000
"tlm031","Ice Cream Mike","The LEGO Movie / General",1,0,"",4.4100,2.2800
"tlm032","Ice Cream Jo","The LEGO Movie / General",1,0,"",4.2200,2.0300
"tlm033","Cardio Carrie","The LEGO Movie / General",1,0,"",3.5900,1.8700
"tlm046","Robo SWAT - Helmet","The LEGO Movie / General",1,1,"",3.2600,1.4800
"tlm047","Frank the Foreman","The LEGO Movie / General",0,1,"",4.0200,2.2000
"tlm048","Robo Skeleton","The LEGO Movie / General",3,1,"",2.7200,1.8600
"tlm052","Alfie the Apprentice","The LEGO Movie / General",0,1,"",2.9500,2.8200
"tlm053","Plumber Joe","The LEGO Movie / General",0,1,"",4.3300,2.8600
"tlm054","Dr. McScrubs","The LEGO Movie / General",0,1,"",14.4100,8.2400
"tlm055","Robo SWAT - Aviator Cap with Goggles, Body Armor Vest","The LEGO Movie / General",1,0,"",4.3700,2.6800
"tlm057","Benny","The LEGO Movie / General",1,0,"",5.4600,2.8600
"tlm058","Radio DJ Robot","The LEGO Movie / General",1,0,"",11.4400,4.5100
"tlm061","Emmet - Pajamas","The LEGO Movie / General",1,0,"",8.9400,4.7300
"tlm062","Emmet - Western Outfit","The LEGO Movie / General",1,0,"",7.7700,5.3000
"tlm063","Robo Emmet","The LEGO Movie / General",1,0,"",6.0800,4.8500
"tlm064","Space Wyldstyle","The LEGO Movie / General",1,0,"",9.0400,7.3100
"tlm065","Robo Pilot","The LEGO Movie / General",1,2,"",4.2900,3.2600
"tlm066","Emmet - Wide Smile, without Piece of Resistance","The LEGO Movie / General",1,0,"",3.2000,1.6600
"tlm067","Ninja - Green (The Lego Movie, with Armor and  Scabbard)","The LEGO Movie / General",1,0,"",9.6400,5.7800
"tlm068","Johnny Thunder (The Lego Movie - Dark Brown Straps, White Pupils)","The LEGO Movie / General",1,0,"",6.1200,2.9500
"tlm069","Robo SWAT - Aviator Cap, Body Armor Vest","The LEGO Movie / General",1,0,"",3.8700,2.2000
"tlm070","Robo SWAT - Aviator Cap with Goggles, Neck Bracket","The LEGO Movie / General",1,0,"",3.2500,2.2900
"tlm071","Vitruvius with Medallion and Black Eyes with Pupils","The LEGO Movie / General",0,1,"",2.8800,3.4700
"tlm072","Emmet - Wide Smile with Teeth and Tongue","The LEGO Movie / General",1,0,"",3.1600,1.5800
"tlm073","Unikitty - Angry Kitty","The LEGO Movie / General",1,1,"",16.5200,7.8500
